order_id,marketplace,exception_type,exception_description,marketplace_status,warehouse_status,carrier_status,age_hours,severity,escalation_owner,suggested_action
S3010,Shopify,Stale Tracking,No tracking update for 100h while status is In Transit (SLA 48h).,Shipped,Dispatched,In Transit,100.0,Critical,Carrier,Contact the carrier to investigate the lack of tracking updates on EV7714221145.
S3011,Shopify,Missing Warehouse Record,Order placed 70h ago on Shopify has no warehouse record.,Processing,MISSING,MISSING,70.0,Critical,Warehouse,Contact warehouse to confirm whether order S3011 was received.
E2005,eBay,Cancelled Order Fulfilled,Marketplace shows Cancelled but warehouse shows Dispatched.,Cancelled,Dispatched,In Transit,66.0,Critical,Warehouse,Confirm cancellation before shipment continues and recover the parcel if it has already left.
E2009,eBay,Stuck In Packed,Packed 66h ago and still awaiting dispatch (SLA 12h).,Processing,Packed,MISSING,66.0,Critical,Warehouse,Check whether the carrier collection at LDN-1 was missed.
W9001,UNKNOWN,Orphan Warehouse Dispatch,Warehouse dispatched this order from BHM-3 but no marketplace order exists.,MISSING,Dispatched,In Transit,22.0,Critical,Seller / Marketplace,Stock has left the warehouse with no marketplace order. Check the marketplace feed for a dropped or deleted order before writing off stock.
E2005,eBay,Carrier Moving Cancelled Order,Order was cancelled by the marketplace but DPD reports In Transit.,Cancelled,Dispatched,In Transit,10.0,Critical,Carrier,Request a carrier intercept or return to sender for DPD9930121007; the order is cancelled.
E2009,eBay,Dispatch SLA Breach,Not dispatched 76h after the order was placed (SLA 48h); warehouse status is Packed.,Processing,Packed,MISSING,76.0,High,Warehouse,Investigate warehouse fulfilment delay and give the buyer a revised dispatch date.
A1007,Amazon,Stale Tracking,No tracking update for 61h while status is In Transit (SLA 48h).,Shipped,Dispatched,In Transit,61.0,High,Carrier,Contact the carrier to investigate the lack of tracking updates on DPD9930118841.
A1016,Amazon,"Warehouse Cancelled, Marketplace Still Open",Warehouse cancelled the order but marketplace still shows Processing.,Processing,Cancelled,MISSING,60.0,High,Seller / Marketplace,"The warehouse has cancelled order A1016 but Ravi Chandrasekhar has not been told. Confirm the cancellation, then either reinstate the order or cancel and refund."
A1012,Amazon,Dispatched Without Tracking Record,Dispatched 52h ago with no carrier tracking record.,Shipped,Dispatched,MISSING,52.0,High,Carrier,Ask the carrier for the consignment raised against order A1012; no tracking record exists.
E2010,eBay,Missing Tracking Number,Dispatched 46h ago with no tracking number on the carrier record.,Shipped,Dispatched,MISSING,46.0,High,Carrier,Obtain the tracking number for order E2010 from Evri and publish it to the buyer.
S3009,Shopify,No Tracking Events,Tracking number DPD9930125104 has no tracking events (Label Created).,Shipped,Dispatched,Label Created,42.0,High,Carrier,A label exists but the parcel was never scanned. Ask DPD to confirm collection of DPD9930125104.
A1011,Amazon,Missing Warehouse Record,Order placed 40h ago on Amazon has no warehouse record.,Processing,MISSING,MISSING,40.0,High,Warehouse,Contact warehouse to confirm whether order A1011 was received.
S3004,Shopify,Marketplace Shipped Before Dispatch,Marketplace shows Shipped but warehouse is still Picking.,Shipped,Picking,MISSING,30.0,High,Seller / Marketplace,Roll the marketplace status back until the warehouse confirms dispatch; the buyer has been told the order is on its way.
A1014,Amazon,Stuck In Packed,Packed 26h ago and still awaiting dispatch (SLA 12h).,Processing,Packed,MISSING,26.0,High,Warehouse,Check whether the carrier collection at MAN-2 was missed.
E2012,eBay,Delivery Failed,Evri reported a failed delivery 20h ago.,Shipped,Dispatched,Delivery Failed,20.0,High,Carrier,Arrange redelivery with Evri and tell the buyer why the first attempt failed.
E2007,eBay,Delivered But Marketplace Not Updated,Carrier confirmed delivery but marketplace still shows Processing.,Processing,Dispatched,Delivered,12.0,High,Seller / Marketplace,Mark order E2007 as delivered on the marketplace; the carrier has already delivered it and the listing is still open.
S3010,Shopify,Parcel Stuck In Tracking Status,Parcel has been 'In Transit' for 100h (SLA 72h for that status).,Shipped,Dispatched,In Transit,100.0,Medium,Carrier,Open a query with Evri: EV7714221145 has not moved past its current status.
S3006,Shopify,Dispatch Not Reflected On Marketplace,Dispatched 46h ago but marketplace still shows Processing.,Processing,Dispatched,In Transit,46.0,Medium,Seller / Marketplace,Update marketplace order to dispatched after verifying warehouse confirmation.
S3008,Shopify,Stuck In Picking,In 'Picking' for 44h (SLA 36h).,Processing,Picking,MISSING,44.0,Medium,Warehouse,Ask the warehouse whether SKU-KTC-0012 is short-picked or out of stock at MAN-2.
A1013,Amazon,Warehouse Intake SLA Breach,Still 'Received' 34h after the order was placed (SLA 24h).,Processing,Received,MISSING,34.0,Medium,Warehouse,Chase the warehouse to start picking order A1013; it has not entered processing.
E2011,eBay,Parcel Stuck In Tracking Status,Parcel has been 'Out for Delivery' for 30h (SLA 24h for that status).,Shipped,Dispatched,Out for Delivery,30.0,Medium,Carrier,Open a query with DPD: DPD9930122483 has not moved past its current status.
